decl,ra_bulge,dec_bulge,g,redshift,ext_model_bulge,pa_bulge,fluxnorm_bulge,sedname_bulge,b_bulge,i,r,u,ra,a_bulge,y,z,rv_bulge,id,magnorm_bulge,av_bulge
4.8,7.5,4.8,18.6762716567,0.188,CCM,-133.024,2.61130345861e-15,Exp.50E09.1Z.spec,1.35512779353,17.3366241,17.7256423199,19.9893334154,7.5,2.48268248337,16.9369294504,17.104249572,3.1,364733,18.055123998,0.0
4.95,7.5,4.95,18.3863508567,0.188,CCM,-36.06338,3.4105597623e-15,Exp.50E09.1Z.spec,1.97231757676,17.0467033,17.4357215199,19.6994126154,7.5,2.21757194143,16.6470086504,16.814328772,3.1,364922,17.765203198,0.0
5.1,7.5,5.1,18.8231213634,0.19,CCM,-129.909,2.29552278093e-15,Exp.50E09.1Z.spec,1.55971294532,17.4774456,17.8677813007,20.1356839675,7.5,1.91183230797,17.0770368223,17.2453477873,3.1,374157,18.1950633402,0.0
5.25,7.5,5.25,19.6543525282,0.194,CCM,-131.7099,1.08131416998e-15,Exp.50E09.1Z.spec,1.1449797225,18.295887,18.6896298231,20.9660223379,7.5,1.25857785186,17.8945180177,18.0651483975,3.1,394666,19.0123876224,0.0
5.4,7.5,5.4,19.3100723282,0.194,CCM,-100.7856,1.48478637694e-15,Exp.50E09.1Z.spec,0.895653450635,17.9516068,18.3453496231,20.6217421379,7.5,2.19713753965,17.5502378177,17.7208681975,3.1,395413,18.6681074224,0.0
5.55,7.5,5.55,19.1590713282,0.194,CCM,109.927,1.70633529535e-15,Exp.50E09.1Z.spec,1.13197136435,17.8006058,18.1943486231,20.4707411379,7.5,1.99302242163,17.3992368177,17.5698671975,3.1,396459,18.5171064224,0.0
5.7,7.5,5.7,18.4946731282,0.194,CCM,-72.75453,3.14647042655e-15,Exp.50E09.1Z.spec,1.70419961714,17.1362076,17.5299504231,19.8063429379,7.5,2.41529099379,16.7348386177,16.9054689975,3.1,397515,17.8527082224,0.0
5.85,7.5,5.85,20.4350724522,0.196,CCM,102.6872,5.3024467015e-16,Exp.50E09.1Z.spec,0.622770609036,19.0701637,19.4657024802,21.7462506007,7.5,1.1559828351,18.6682167484,18.8400949192,3.1,400908,19.7860765784,0.0
6.0,7.5,6.0,19.9397931522,0.196,CCM,81.58555,8.36735185425e-16,Exp.50E09.1Z.spec,0.878125289825,18.5748844,18.9704231802,21.2509713007,7.5,1.28349140801,18.1729374484,18.3448156192,3.1,403435,19.2907972784,0.0
6.15,7.5,6.15,19.7223516522,0.196,CCM,167.6564,1.02226768343e-15,Exp.50E09.1Z.spec,1.09778937442,18.3574429,18.7529816802,21.0335298007,7.5,1.249957586,17.9554959484,18.1273741192,3.1,405612,19.0733557784,0.0
6.3,7.5,6.3,19.1485524522,0.196,CCM,30.30602,1.73414062272e-15,Exp.50E09.1Z.spec,1.07894375304,17.7836437,18.1791824802,20.4597306007,7.5,2.13770288787,17.3816967484,17.5535749192,3.1,408575,18.4995565784,0.0
6.45,7.5,6.45,18.4599919522,0.196,CCM,-132.5527,3.26970455129e-15,Exp.50E09.1Z.spec,1.48290097055,17.0950832,17.4906219802,19.7711701007,7.5,2.90049611096,16.6931362484,16.8650144192,3.1,409363,17.8109960784,0.0
6.6,7.5,6.6,19.0049600674,0.198,CCM,92.48027,1.99231650017e-15,Exp.50E09.1Z.spec,1.37734552199,17.6335812,18.0308977133,20.3155999335,7.5,1.93114011875,17.231072619,17.4041445435,3.1,420457,18.3488715285,0.0
6.75,7.5,6.75,18.4975976674,0.198,CCM,-50.99381,3.17909343166e-15,Exp.50E09.1Z.spec,1.57356488124,17.1262188,17.5235353133,19.8082375335,7.5,2.67540502404,16.723710219,16.8967821435,3.1,421943,17.8415091285,0.0
6.9,7.5,6.9,19.677663968,0.202,CCM,-150.2548,1.08644255741e-15,Exp.50E09.1Z.spec,0.881698103951,18.2931175,18.6940037228,20.9868920754,7.5,1.68326054961,17.8893971185,18.0651797242,3.1,442543,19.007250435,0.0
7.05,7.5,7.05,18.608583668,0.202,CCM,-46.85597,2.90829789639e-15,Exp.50E09.1Z.spec,1.91332592436,17.2240372,17.6249234228,19.9178117754,7.5,2.04119179146,16.8203168185,16.9960994242,3.1,446063,17.938170135,0.0
7.2,7.5,7.2,18.783746868,0.202,CCM,156.0658,2.47499091538e-15,Exp.50E09.1Z.spec,1.66219418231,17.3992004,17.8000866228,20.0929749754,7.5,2.00513938773,16.9954800185,17.1712626242,3.1,446253,18.113333335,0.0
7.35,7.5,7.35,18.427385568,0.202,CCM,-136.1489,3.43651409215e-15,Exp.50E09.1Z.spec,1.75247034204,17.0428391,17.4437253228,19.7366136754,7.5,2.62568571193,16.6391187185,16.8149013242,3.1,447252,17.756972035,0.0
-7.5,7.35,-7.5,19.5336992966,0.204,CCM,-63.38498,1.24886489369e-15,Exp.50E09.1Z.spec,1.11874141545,18.1423855,18.5448774678,20.8418959108,7.35,1.53075666474,17.7379793592,17.9153096301,3.1,455704,18.8559787142,0.0
-7.35,7.35,-7.35,19.6847002966,0.204,CCM,93.41467,1.08671348817e-15,Exp.50E09.1Z.spec,1.0866927749,18.2933865,18.6958784678,20.9928969108,7.35,1.37460764526,17.8889803592,18.0663106301,3.1,456098,19.0069797142,0.0
-7.2,7.35,-7.2,19.5095407966,0.204,CCM,-78.11393,1.27696459879e-15,Exp.50E09.1Z.spec,1.10056971442,18.118227,18.5207189678,20.8177374108,7.35,1.59042900484,17.7138208592,17.8911511301,3.1,457723,18.8318202142,0.0
-7.05,7.35,-7.05,19.6973371614,0.206,CCM,-30.61413,1.08132985888e-15,Exp.50E09.1Z.spec,0.964266573494,18.2994595,18.7034805491,21.0043931045,7.35,1.55101488353,17.8943630603,18.0731558962,3.1,467658,19.0123718695,0.0
