#The following SEDs are for the blue horizontal branch stars in the catalog
#These are Kurucz models
#sedfilename,number
bergeron_6000_75.dat_6100,250
bergeron_5500_90.dat_5600,7
bergeron_6000_65.dat_6300,39
bergeron_5500_70.dat_5600,255
bergeron_6000_65.dat_6000,172
bergeron_6000_70.dat_6200,238
bergeron_6000_75.dat_6000,292
bergeron_6000_75.dat_6200,191
bergeron_5500_80.dat_5600,448
bergeron_6000_70.dat_6300,313
bergeron_6000_75.dat_6500,160
bergeron_6000_85.dat_6000,192
bergeron_6000_85.dat_6400,121
bergeron_5500_80.dat_5900,181
bergeron_6000_80.dat_6400,137
bergeron_5250_65.dat_5300,108
bergeron_6000_75.dat_6400,153
bergeron_5500_75.dat_5600,136
bergeron_6000_90.dat_6400,228
bergeron_5250_90.dat_5300,254
bergeron_6000_85.dat_6300,159
bergeron_6500_70.dat_6800,28
bergeron_5500_85.dat_5900,224
bergeron_6500_75.dat_6700,489
bergeron_6000_90.dat_6300,120
bergeron_6000_85.dat_6100,165
bergeron_5500_90.dat_5500,20
bergeron_6500_70.dat_7000,32
bergeron_5250_85.dat_5500,14
bergeron_6500_70.dat_6900,28
bergeron_6000_70.dat_6400,292
bergeron_6500_75.dat_6600,364
bergeron_6500_75.dat_6800,504
bergeron_5250_70.dat_5350,109
bergeron_6000_85.dat_6200,185
bergeron_6500_80.dat_6900,153
bergeron_6500_70.dat_6600,77
bergeron_6500_85.dat_6500,139
bergeron_6500_85.dat_6800,1
bergeron_6500_85.dat_6900,2
bergeron_6000_75.dat_6300,163
bergeron_6500_80.dat_6600,62
bergeron_6500_90.dat_6600,208
bergeron_6500_95.dat_6700,180
bergeron_6500_80.dat_6800,120
bergeron_6000_70.dat_6100,225
bergeron_6500_90.dat_6500,312
bergeron_6500_95.dat_6600,61
bergeron_6500_90.dat_6700,87
bergeron_6500_95.dat_6900,37
bergeron_7000_75.dat_7200,399
bergeron_5500_65.dat_5700,464
bergeron_6500_80.dat_6500,124
bergeron_7000_80.dat_7100,206
bergeron_6500_95.dat_6500,18
bergeron_7000_75.dat_7400,321
bergeron_7000_75.dat_7300,324
bergeron_7000_75.dat_7000,589
bergeron_6500_85.dat_6600,69
bergeron_7000_85.dat_7100,6
bergeron_6500_70.dat_6700,11
bergeron_7000_80.dat_7200,292
bergeron_7000_80.dat_7300,340
bergeron_7500_75.dat_8000,237
bergeron_7000_85.dat_7400,3
bergeron_7500_75.dat_7700,235
bergeron_6000_65.dat_6100,201
bergeron_6500_95.dat_7000,4
bergeron_7000_80.dat_7000,135
bergeron_7000_95.dat_7100,1
bergeron_7500_80.dat_7600,332
bergeron_6000_80.dat_6300,173
bergeron_6500_85.dat_6700,25
bergeron_7000_85.dat_7300,4
bergeron_7000_85.dat_7200,3
bergeron_7000_75.dat_7100,461
bergeron_5500_70.dat_5700,275
bergeron_6500_95.dat_6800,118
bergeron_7500_75.dat_7900,241
bergeron_7500_85.dat_8000,1
bergeron_7500_75.dat_7600,241
bergeron_5500_80.dat_5500,11
bergeron_8000_75.dat_8300,213
bergeron_7500_85.dat_7600,5
bergeron_8000_80.dat_8000,260
bergeron_8000_75.dat_8100,196
bergeron_8000_80.dat_8100,278
bergeron_7500_80.dat_7700,305
bergeron_8000_75.dat_8400,192
bergeron_8500_75.dat_8700,125
bergeron_7500_75.dat_7500,325
bergeron_8000_80.dat_8400,275
bergeron_7500_80.dat_7800,327
bergeron_8000_75.dat_8200,212
bergeron_8500_75.dat_8600,164
bergeron_8000_85.dat_8200,2
bergeron_7500_75.dat_7800,213
bergeron_7000_80.dat_7500,296
bergeron_8000_75.dat_8500,203
bergeron_5500_80.dat_5700,466
bergeron_8500_80.dat_8700,243
bergeron_8000_80.dat_8300,273
bergeron_8000_85.dat_8300,5
bergeron_8500_80.dat_8800,304
bergeron_8500_75.dat_8900,119
bergeron_9000_75.dat_9100,101
bergeron_9000_80.dat_9100,260
bergeron_8500_80.dat_8500,221
bergeron_8500_85.dat_8600,4
bergeron_8000_85.dat_8400,8
bergeron_8500_75.dat_9000,135
bergeron_8500_85.dat_8500,3
bergeron_8500_85.dat_8700,6
bergeron_6500_80.dat_6700,44
bergeron_7500_85.dat_7700,2
bergeron_8500_85.dat_8800,7
bergeron_9000_80.dat_9200,230
bergeron_9000_75.dat_9300,59
bergeron_9000_80.dat_9500,231
bergeron_8500_75.dat_8800,139
bergeron_8500_85.dat_9000,1
bergeron_8000_80.dat_8200,273
bergeron_9000_75.dat_9200,79
bergeron_5500_80.dat_6000,221
bergeron_9000_85.dat_9200,13
bergeron_9000_80.dat_9400,266
bergeron_5500_95.dat_5700,1
bergeron_9000_85.dat_9400,15
bergeron_9500_80.dat_9600,244
bergeron_9000_80.dat_9300,235
bergeron_9000_85.dat_9300,15
bergeron_9500_75.dat_9500,43
bergeron_9000_85.dat_9100,10
bergeron_9000_80.dat_9000,257
bergeron_9500_85.dat_9600,26
bergeron_9500_80.dat_9900,243
bergeron_9500_75.dat_9800,34
bergeron_8500_80.dat_8900,306
bergeron_9500_85.dat_9500,14
bergeron_6000_80.dat_6100,185
bergeron_9000_75.dat_9400,70
bergeron_9500_75.dat_9600,39
bergeron_9500_75.dat_9900,27
bergeron_9500_85.dat_9900,28
bergeron_He_10000_90.dat_10600,15
bergeron_He_10000_70.dat_10600,23
bergeron_9500_80.dat_9800,241
bergeron_He_11000_90.dat_11000,6
bergeron_9500_80.dat_10000,252
bergeron_He_11000_90.dat_11600,5
bergeron_He_10000_75.dat_10400,7
bergeron_He_10000_70.dat_10200,12
bergeron_He_13000_75.dat_13400,1
bergeron_He_10000_85.dat_10200,2
bergeron_He_11000_85.dat_11200,1
bergeron_He_12000_75.dat_12600,1
